167,120,0.001
408,267,0.001
649,414,0.000
890,561,0.001
1131,708,0.001
1372,855,0.000
1613,1002,0.001
1854,1149,0.000
2095,1296,0.001
2336,1443,0.000
15814,7340,0.041
30990,13869,0.042
46166,20398,0.040
61342,26927,1.860
76518,33456,0.045
91694,39985,0.050
106870,46514,0.040
122046,53043,0.041
137222,59572,0.044
152398,66101,0.040
1427783,594888,4.398
2770075,1156060,5.288
4112367,1717232,3.994
5454659,2278404,5.776
6796951,2839576,16.388
8139243,3400748,14.602
9481535,3961920,15.005
10823827,4523092,14.715
12166119,5084264,5.150
13508411,5645436,4.025
