212,134,0.001
453,281,0.000
694,428,0.000
935,575,0.000
1176,722,0.000
1417,869,0.001
1658,1016,0.000
1899,1163,0.001
2140,1310,0.000
2381,1457,0.000
16783,7653,0.001
31959,14182,0.002
47135,20711,0.002
62311,27240,0.001
77487,33769,0.001
92663,40298,0.001
107839,46827,0.001
123015,53356,0.001
138191,59885,0.002
153367,66414,0.001
1482105,621058,0.048
2824397,1182230,0.048
4166689,1743402,0.048
5508981,2304574,0.069
6851273,2865746,0.049
8193565,3426918,0.048
9535857,3988090,0.333
10878149,4549262,0.049
12220441,5110434,0.048
13562733,5671606,0.049
