77,82,0.001
318,229,0.000
559,376,0.001
800,523,0.000
1041,670,0.001
1282,817,0.000
1523,964,0.000
1764,1111,0.000
2005,1258,0.000
2246,1405,0.000
5992,4859,0.013
21168,11388,0.013
36344,17917,0.013
51520,24446,0.013
66696,30975,0.014
81872,37504,0.014
97048,44033,0.013
112224,50562,0.013
127400,57091,0.013
142576,63620,0.013
429911,338650,1.403
1772203,899822,1.357
3114495,1460994,1.669
4456787,2022166,1.309
5799079,2583338,1.305
7141371,3144510,1.462
8483663,3705682,1.514
9825955,4266854,6.562
11168247,4828026,1.460
12510539,5389198,1.435
