42,51,0.000
283,198,0.001
524,345,0.000
765,492,0.000
1006,639,0.000
1247,786,0.001
1488,933,0.001
1729,1080,0.000
1970,1227,0.000
2211,1374,0.000
3512,2475,0.003
18688,9004,0.002
33864,15533,0.002
49040,22062,0.002
64216,28591,0.003
79392,35120,0.003
94568,41649,0.002
109744,48178,0.002
124920,54707,0.002
140096,61236,0.003
173673,83410,0.024
1515965,644582,0.025
2858257,1205754,0.025
4200549,1766926,0.024
5542841,2328098,0.025
6885133,2889270,0.024
8227425,3450442,0.025
9569717,4011614,0.089
10912009,4572786,0.024
12254301,5133958,0.025
