22,17,0.000
263,164,0.000
504,311,0.000
745,458,0.000
986,605,0.000
1227,752,0.000
1468,899,0.000
1709,1046,0.000
1950,1193,0.000
2191,1340,0.000
2974,1803,0.001
18150,8332,0.001
33326,14861,0.000
48502,21390,0.000
63678,27919,0.000
78854,34448,0.000
94030,40977,0.001
109206,47506,0.001
124382,54035,0.000
139558,60564,0.000
164961,73434,0.000
1507253,634606,0.000
2849545,1195778,0.000
4191837,1756950,0.000
5534129,2318122,0.000
6876421,2879294,0.001
8218713,3440466,0.001
9561005,4001638,0.000
10903297,4562810,0.001
12245589,5123982,0.000
