122,89,0.001
363,236,0.001
604,383,0.000
845,530,0.000
1086,677,0.000
1327,824,0.001
1568,971,0.001
1809,1118,0.001
2050,1265,0.000
2291,1412,0.001
10942,4956,0.019
26118,11485,0.134
41294,18014,0.030
56470,24543,0.019
71646,31072,0.020
86822,37601,0.020
101998,44130,0.018
117174,50659,0.019
132350,57188,0.019
147526,63717,0.018
929411,339648,1.858
2271703,900820,1.885
3613995,1461992,1.445
4956287,2023164,6.195
6298579,2584336,1.776
7640871,3145508,3.044
8983163,3706680,1.669
10325455,4267852,8.246
11667747,4829024,2.063
13010039,5390196,1.444
