241,147,0.000
482,294,0.000
723,441,0.001
964,588,0.000
1205,735,0.000
1446,882,0.001
1687,1029,0.000
1928,1176,0.000
2169,1323,0.000
2410,1470,0.001
17586,7999,0.009
32762,14528,0.009
47938,21057,0.009
63114,27586,0.009
78290,34115,0.010
93466,40644,0.009
108642,47173,0.008
123818,53702,0.008
138994,60231,0.008
154170,66760,0.008
1496462,627932,0.181
2838754,1189104,0.176
4181046,1750276,0.144
5523338,2311448,0.155
6865630,2872620,0.148
8207922,3433792,0.147
9550214,3994964,4.428
10892506,4556136,0.402
12234798,5117308,0.145
13577090,5678480,0.145
