127,43,0.001
320,96,0.000
513,149,0.000
706,202,0.000
899,255,0.000
1092,308,0.000
1285,361,0.000
1478,414,0.000
1671,467,0.000
1864,520,0.000
12074,1301,0.000
23345,2172,0.000
34616,3043,0.000
45887,3914,0.001
57158,4785,0.000
68429,5656,0.000
79700,6527,0.001
90971,7398,0.000
102242,8269,0.000
113513,9140,0.000
830312,20956,0.003
1560583,33672,0.004
2290854,46388,0.004
3021125,59104,0.004
3751396,71820,0.026
4481667,84536,0.004
5211938,97252,0.003
5942209,109968,0.003
6672480,122684,0.003
7402751,135400,0.004
