171,53,0.000
364,106,0.000
557,159,0.000
750,212,0.000
943,265,0.000
1136,318,0.000
1329,371,0.001
1522,424,0.000
1715,477,0.000
1908,530,0.000
12698,1401,0.001
23969,2272,0.000
35240,3143,0.000
46511,4014,0.001
57782,4885,0.001
69053,5756,0.000
80324,6627,0.001
91595,7498,0.001
102866,8369,0.001
114137,9240,0.001
836905,21956,0.005
1567176,34672,0.004
2297447,47388,0.013
3027718,60104,0.004
3757989,72820,0.004
4488260,85536,0.005
5218531,98252,0.004
5948802,110968,0.004
6679073,123684,0.005
7409344,136400,0.005
