73,43,0.001
266,96,0.000
459,149,0.000
652,202,0.000
845,255,0.000
1038,308,0.000
1231,361,0.000
1424,414,0.000
1617,467,0.000
1810,520,0.000
7025,1301,0.000
18296,2172,0.001
29567,3043,0.001
40838,3914,0.000
52109,4785,0.001
63380,5656,0.001
74651,6527,0.000
85922,7398,0.001
97193,8269,0.000
108464,9140,0.001
329813,20956,0.006
1060084,33672,0.006
1790355,46388,0.006
2520626,59104,0.006
3250897,71820,0.006
3981168,84536,0.006
4711439,97252,0.006
5441710,109968,0.007
6171981,122684,0.006
6902252,135400,0.006
