64,43,0.000
257,96,0.001
450,149,0.001
643,202,0.000
836,255,0.000
1029,308,0.000
1222,361,0.001
1415,414,0.000
1608,467,0.000
1801,520,0.001
6926,1301,0.002
18197,2172,0.002
29468,3043,0.002
40739,3914,0.001
52010,4785,0.001
63281,5656,0.162
74552,6527,0.001
85823,7398,0.001
97094,8269,0.002
108365,9140,0.001
328814,20956,0.014
1059085,33672,0.014
1789356,46388,0.014
2519627,59104,0.014
3249898,71820,0.014
3980169,84536,0.015
4710440,97252,0.014
5440711,109968,0.014
6170982,122684,0.014
6901253,135400,0.014
