45,9,0.000
238,62,0.000
431,115,0.001
624,168,0.000
817,221,0.000
1010,274,0.001
1203,327,0.000
1396,380,0.001
1589,433,0.001
1782,486,0.000
6570,629,0.005
17841,1500,0.005
29112,2371,0.005
40383,3242,0.004
51654,4113,0.005
62925,4984,0.005
74196,5855,0.005
85467,6726,0.004
96738,7597,0.005
108009,8468,0.005
323770,10980,0.023
1054041,23696,0.024
1784312,36412,0.024
2514583,49128,0.023
3244854,61844,0.023
3975125,74560,0.024
4705396,87276,0.023
5435667,99992,0.023
6165938,112708,0.024
6896209,125424,0.024
