118,43,0.001
311,96,0.000
504,149,0.000
697,202,0.000
890,255,0.000
1083,308,0.000
1276,361,0.000
1469,414,0.000
1662,467,0.000
1855,520,0.000
11975,1301,0.014
23246,2172,0.014
34517,3043,0.014
45788,3914,0.015
57059,4785,0.014
68330,5656,0.014
79601,6527,0.013
90872,7398,0.014
102143,8269,0.014
113414,9140,0.014
829313,20956,1.393
1559584,33672,1.360
2289855,46388,1.403
3020126,59104,2.279
3750397,71820,2.324
4480668,84536,1.447
5210939,97252,1.426
5941210,109968,1.374
6671481,122684,1.708
7401752,135400,5.568
