193,53,0.000
386,106,0.000
579,159,0.000
772,212,0.000
965,265,0.001
1158,318,0.000
1351,371,0.000
1544,424,0.000
1737,477,0.000
1930,530,0.000
13201,1401,0.003
24472,2272,0.003
35743,3143,0.003
47014,4014,0.003
58285,4885,0.003
69556,5756,0.003
80827,6627,0.003
92098,7498,0.003
103369,8369,0.003
114640,9240,0.003
844911,21956,0.046
1575182,34672,0.048
2305453,47388,0.068
3035724,60104,0.048
3765995,72820,0.048
4496266,85536,0.048
5226537,98252,0.061
5956808,110968,0.047
6687079,123684,0.048
7417350,136400,0.048
