195,163,0.001
462,355,0.001
729,547,0.001
996,739,0.001
1263,931,0.000
1530,1123,0.001
1797,1315,0.000
2064,1507,0.001
2331,1699,0.000
2598,1891,0.000
22558,15009,0.048
44114,28917,0.048
65670,42825,0.048
87226,56733,0.048
108782,70641,0.047
130338,84549,0.048
151894,98457,0.048
173450,112365,0.048
195006,126273,0.057
216562,140181,0.053
1985623,1311824,5.237
3819880,2536880,5.931
5654137,3761936,8.478
7488394,4986992,9.436
9322651,6212048,9.291
11156908,7437104,10.353
12991165,8662160,8.328
14825422,9887216,8.206
16659679,11112272,5.505
18493936,12337328,4.918
