240,179,0.000
507,371,0.000
774,563,0.000
1041,755,0.000
1308,947,0.000
1575,1139,0.000
1842,1331,0.000
2109,1523,0.000
2376,1715,0.000
2643,1907,0.000
23559,15569,0.001
45115,29477,0.001
66671,43385,0.001
88227,57293,0.002
109783,71201,0.001
131339,85109,0.002
152895,99017,0.002
174451,112925,0.002
196007,126833,0.001
217563,140741,0.001
2041202,1361788,0.064
3875459,2586844,0.051
5709716,3811900,0.052
7543973,5036956,0.051
9378230,6262012,0.051
11212487,7487068,0.082
13046744,8712124,0.051
14881001,9937180,0.052
16715258,11162236,0.064
18549515,12387292,0.139
