105,113,0.000
372,305,0.000
639,497,0.001
906,689,0.000
1173,881,0.000
1440,1073,0.001
1707,1265,0.000
1974,1457,0.000
2241,1649,0.000
2508,1841,0.000
12658,10013,0.024
34214,23921,0.024
55770,37829,0.024
77326,51737,0.024
98882,65645,0.023
120438,79553,0.023
141994,93461,0.024
163550,107369,0.024
185106,121277,0.023
206662,135185,0.041
986623,812692,2.920
2820880,2037748,2.740
4655137,3262804,2.440
6489394,4487860,2.405
8323651,5712916,2.360
10157908,6937972,2.392
11992165,8163028,14.028
13826422,9388084,2.326
15660679,10613140,2.349
17494936,11838196,2.358
