45,34,0.000
312,226,0.000
579,418,0.000
846,610,0.000
1113,802,0.000
1380,994,0.000
1647,1186,0.000
1914,1378,0.000
2181,1570,0.000
2448,1762,0.000
7387,4398,0.000
28943,18306,0.000
50499,32214,0.001
72055,46122,0.000
93611,60030,0.001
115167,73938,0.000
136723,87846,0.000
158279,101754,0.000
179835,115662,0.000
201391,129570,0.000
482285,304249,0.000
2316542,1529305,0.000
4150799,2754361,0.000
5985056,3979417,0.000
7819313,5204473,0.000
9653570,6429529,0.001
11487827,7654585,0.000
13322084,8879641,0.000
15156341,10104697,0.000
16990598,11329753,0.000
