150,118,0.001
417,310,0.000
684,502,0.000
951,694,0.000
1218,886,0.001
1485,1078,0.000
1752,1270,0.001
2019,1462,0.000
2286,1654,0.001
2553,1846,0.000
17608,10066,0.018
39164,23974,0.018
60720,37882,0.018
82276,51790,0.018
103832,65698,0.018
125388,79606,0.018
146944,93514,0.017
168500,107422,0.017
190056,121330,0.018
211612,135238,0.020
1486123,813357,2.271
3320380,2038413,2.409
5154637,3263469,1.556
6988894,4488525,1.534
8823151,5713581,1.785
10657408,6938637,1.547
12491665,8163693,1.631
14325922,9388749,1.586
16160179,10613805,1.715
17994436,11838861,1.536
