267,192,0.001
534,384,0.001
801,576,0.000
1068,768,0.000
1335,960,0.001
1602,1152,0.000
1869,1344,0.000
2136,1536,0.000
2403,1728,0.000
2670,1920,0.000
24226,15828,0.005
45782,29736,0.005
67338,43644,0.005
88894,57552,0.005
110450,71460,0.005
132006,85368,0.005
153562,99276,0.005
175118,113184,0.005
196674,127092,0.005
218230,141000,0.004
2052487,1366056,0.073
3886744,2591112,0.073
5721001,3816168,0.077
7555258,5041224,0.074
9389515,6266280,0.073
11223772,7491336,0.074
13058029,8716392,0.073
14892286,9941448,0.074
16726543,11166504,0.154
18560800,12391560,0.385
