138,59,0.000
379,135,0.001
620,211,0.001
861,287,0.000
1102,363,0.000
1343,439,0.000
1584,515,0.000
1825,591,0.001
2066,667,0.000
2307,743,0.000
14203,2752,0.020
27510,5091,0.019
40817,7430,0.019
54124,9769,0.019
67431,12108,0.021
80738,14447,0.020
94045,16786,0.020
107352,19125,0.020
120659,21464,0.020
133966,23803,0.020
1214636,103701,2.242
2349232,191554,1.964
3483828,279407,1.898
4618424,367260,2.615
5753020,455113,1.920
6887616,542966,1.943
8022212,630819,3.770
9156808,718672,1.850
10291404,806525,1.860
11426000,894378,3.131
