214,70,0.000
455,146,0.000
696,222,0.000
937,298,0.000
1178,374,0.000
1419,450,0.000
1660,526,0.000
1901,602,0.000
2142,678,0.000
2383,754,0.000
15004,2876,0.001
28311,5215,0.000
41618,7554,0.000
54925,9893,0.001
68232,12232,0.001
81539,14571,0.000
94846,16910,0.001
108153,19249,0.001
121460,21588,0.001
134767,23927,0.000
1258757,108618,0.010
2393353,196471,0.010
3527949,284324,0.011
4662545,372177,0.010
5797141,460030,0.011
6931737,547883,0.011
8066333,635736,0.010
9200929,723589,0.010
10335525,811442,0.011
11470121,899295,0.011
