63,51,0.000
304,127,0.000
545,203,0.000
786,279,0.000
1027,355,0.000
1268,431,0.000
1509,507,0.000
1750,583,0.000
1991,659,0.000
2232,735,0.000
4681,2212,0.004
17988,4551,0.003
31295,6890,0.003
44602,9229,0.003
57909,11568,0.004
71216,13907,0.004
84523,16246,0.004
97830,18585,0.004
111137,20924,0.003
124444,23263,0.004
220787,71774,0.202
1355383,159627,0.207
2489979,247480,0.179
3624575,335333,0.167
4759171,423186,0.406
5893767,511039,0.168
7028363,598892,0.162
8162959,686745,0.162
9297555,774598,0.184
10432151,862451,0.161
