49,45,0.000
290,121,0.001
531,197,0.000
772,273,0.001
1013,349,0.001
1254,425,0.000
1495,501,0.001
1736,577,0.000
1977,653,0.000
2218,729,0.000
4047,1677,0.002
17354,4016,0.002
30661,6355,0.002
43968,8694,0.001
57275,11033,0.002
70582,13372,0.002
83889,15711,0.002
97196,18050,0.002
110503,20389,0.002
123810,22728,0.002
187959,39945,0.032
1322555,127798,0.016
2457151,215651,0.016
3591747,303504,0.016
4726343,391357,0.016
5860939,479210,0.016
6995535,567063,0.016
8130131,654916,0.016
9264727,742769,0.018
10399323,830622,0.016
