29,11,0.000
270,87,0.000
511,163,0.001
752,239,0.000
993,315,0.000
1234,391,0.001
1475,467,0.000
1716,543,0.000
1957,619,0.000
2198,695,0.001
3589,1005,0.001
16896,3344,0.001
30203,5683,0.001
43510,8022,0.001
56817,10361,0.001
70124,12700,0.001
83431,15039,0.001
96738,17378,0.001
110045,19717,0.001
123352,22056,0.001
180544,29969,0.006
1315140,117822,0.006
2449736,205675,0.007
3584332,293528,0.007
4718928,381381,0.007
5853524,469234,0.006
6988120,557087,0.006
8122716,644940,0.006
9257312,732793,0.006
10391908,820646,0.006
