241,76,0.001
482,152,0.000
723,228,0.000
964,304,0.000
1205,380,0.000
1446,456,0.000
1687,532,0.000
1928,608,0.000
2169,684,0.000
2410,760,0.000
15717,3099,0.007
29024,5438,0.006
42331,7777,0.005
55638,10116,0.006
68945,12455,0.006
82252,14794,0.006
95559,17133,0.006
108866,19472,0.005
122173,21811,0.006
135480,24150,0.005
1270076,112003,0.098
2404672,199856,0.097
3539268,287709,0.109
4673864,375562,0.098
5808460,463415,0.098
6943056,551268,0.097
8077652,639121,0.097
9212248,726974,0.098
10346844,814827,0.103
11481440,902680,0.098
